case,step,bank,stage,rms,sample_diversity_rms,batch_mean_rms,diversity_to_rms
cifar,0,fixed_latent,stage32_block1_attention,0.15481984615325928,0.029146937653422356,0.15205144125705083,0.1882635745844187
cifar,0,fixed_latent,stage32_block1_attention_residual,0.7722408175468445,0.7026289701461792,0.32041911709000503,0.9098573322997879
cifar,0,fixed_latent,stage32_block1_ffn,0.19302934408187866,0.1672956943511963,0.09629370866381362,0.8666852967196182
cifar,0,fixed_latent,stage32_block1,0.8064607977867126,0.7347767353057861,0.33238857925649573,0.9111127748829708
cifar,0,fixed_latent,output_projection,1.0635793209075928,0.9125813245773315,0.5462566227469826,0.8580284579043819
cifar,0,evolving_prior,input_projection,0.581482470035553,0.5724968910217285,0.10182913497178925,0.9845471196865573
cifar,0,evolving_prior,stage8_position,0.5818389058113098,0.5724968910217285,0.10384518325929883,0.9839439839854729
cifar,0,evolving_prior,stage8_block0_attention,0.057348139584064484,0.04325546324253082,0.037653340003609356,0.7542609674220427
cifar,0,evolving_prior,stage8_block0_attention_residual,0.5846015810966492,0.574080765247345,0.11040961730630566,0.9820034427044
cifar,0,evolving_prior,stage8_block0_ffn,0.196698859333992,0.18276435136795044,0.07271611329235031,0.9291581658723249
cifar,0,evolving_prior,stage8_block0,0.6163162589073181,0.6018022894859314,0.13296516597591868,0.9764504518392572
cifar,0,evolving_prior,stage8_block1_attention,0.0765087753534317,0.0496860146522522,0.05817983030276092,0.6494158927878277
cifar,0,evolving_prior,stage8_block1_attention_residual,0.6207672357559204,0.6038544774055481,0.14391570833414563,0.9727550724712826
cifar,0,evolving_prior,stage8_block1_ffn,0.20105509459972382,0.18194453418254852,0.08555312703577424,0.9049486388035971
cifar,0,evolving_prior,stage8_block1,0.651229739189148,0.6293318867683411,0.167456112163652,0.966374612363262
cifar,0,evolving_prior,stage16_upsample,0.651229739189148,0.6293318867683411,0.167456112163652,0.966374612363262
cifar,0,evolving_prior,stage16_position,0.6515889167785645,0.6293318867683411,0.16884754296483837,0.9658419143771483
cifar,0,evolving_prior,stage16_block0_attention,0.0800892785191536,0.029927479103207588,0.07428753952208696,0.3736764727634591
cifar,0,evolving_prior,stage16_block0_attention_residual,0.6564127206802368,0.6297913789749146,0.1850418299728636,0.9594442019988054
cifar,0,evolving_prior,stage16_block0_ffn,0.20027776062488556,0.17958858609199524,0.08865168439684028,0.896697594039707
cifar,0,evolving_prior,stage16_block0,0.687631368637085,0.6552646160125732,0.20848304999593031,0.9529300812895374
cifar,0,evolving_prior,stage16_block1_attention,0.10632843524217606,0.032582469284534454,0.10121323449219473,0.3064323217991865
cifar,0,evolving_prior,stage16_block1_attention_residual,0.6913731098175049,0.6557738184928894,0.21899195409416897,0.9485092914099418
cifar,0,evolving_prior,stage16_block1_ffn,0.19780749082565308,0.17400744557380676,0.09407025200146699,0.8796807686478183
